accuracy,precision,recall,f1,ARI,NMI,seed,method,perm_id
0.2635,0.2633960219595094,0.2635,0.26341918900225725,-0.00019078517859724649,0.0014191414017806047,0,Randomly reassigned lift weights,10.0
0.2645,0.2644183862729655,0.2645,0.26442636567512534,-0.00011598289564861136,0.0015007406220531147,10,Randomly reassigned lift weights,10.0
0.264,0.2639665280396943,0.264,0.2639396265367595,-0.0001913205651027875,0.001421207282826895,42,Randomly reassigned lift weights,10.0
0.264,0.2639665280396943,0.264,0.2639396265367595,-0.0001913205651027875,0.001421207282826895,100,Randomly reassigned lift weights,10.0
0.2645,0.26451619851967934,0.2645,0.26443317258041,-0.00010562102775130804,0.001517665657127932,999,Randomly reassigned lift weights,10.0
0.2645,0.2646346845792192,0.2645,0.2644132134667135,-0.00048527821367828265,0.0010857155803710424,0,Randomly reassigned lift weights,11.0
0.264,0.26412555093222834,0.264,0.2639135095073713,-0.0004939977860566097,0.0010758507788139293,10,Randomly reassigned lift weights,11.0
0.264,0.26412555093222834,0.264,0.2639135095073713,-0.0004939977860566097,0.0010758507788139293,42,Randomly reassigned lift weights,11.0
0.264,0.26412555093222834,0.264,0.2639135095073713,-0.0004939977860566097,0.0010758507788139293,100,Randomly reassigned lift weights,11.0
0.2645,0.26459459408419833,0.2645,0.26439753661288923,-0.00039258829823942434,0.0011844387203144818,999,Randomly reassigned lift weights,11.0
0.4715,0.4695282536761146,0.47150000000000003,0.47026973399188055,0.23323625943687198,0.32853244343972077,0,Randomly reassigned lift weights,12.0
0.4715,0.46961395952448504,0.47150000000000003,0.4702624937514147,0.23399000236848388,0.32976861859986517,10,Randomly reassigned lift weights,12.0
0.4715,0.4695272055672387,0.47150000000000003,0.47028071342069966,0.23128739203514437,0.3260785761283358,42,Randomly reassigned lift weights,12.0
0.4715,0.46953236896949346,0.47150000000000003,0.4702670758303258,0.23363080986685322,0.3290481610481188,100,Randomly reassigned lift weights,12.0
0.4715,0.4695282536761146,0.47150000000000003,0.47026973399188055,0.23323625943687198,0.32853244343972077,999,Randomly reassigned lift weights,12.0
0.2775,0.27782024328632016,0.2775,0.2773697253809774,0.0015701683622343146,0.0032871798547085087,0,Randomly reassigned lift weights,13.0
0.278,0.27832525299626404,0.278,0.2778933180158679,0.0014208211117001544,0.003130267755177635,10,Randomly reassigned lift weights,13.0
0.278,0.2782276173415387,0.278,0.2777894795157222,0.0016661412998579229,0.003382765238545091,42,Randomly reassigned lift weights,13.0
0.277,0.27741206204339053,0.277,0.2768766282693636,0.001379518778598307,0.0030814685266587613,100,Randomly reassigned lift weights,13.0
0.277,0.27741206204339053,0.277,0.2768766282693636,0.001379518778598307,0.0030814685266587613,999,Randomly reassigned lift weights,13.0
0.295,0.2965647319981853,0.295,0.29550180496192374,0.011922630187778104,0.014904805918506264,0,Randomly reassigned lift weights,14.0
0.294,0.29564229028656464,0.294,0.2945223077822713,0.011896072083310116,0.014926354956404443,10,Randomly reassigned lift weights,14.0
0.294,0.2957021060281576,0.294,0.2945384509623133,0.012063559963008516,0.015137875231669314,42,Randomly reassigned lift weights,14.0
0.2935,0.2949819000214723,0.2935,0.2939834448187338,0.011813630418356947,0.014811346075860892,100,Randomly reassigned lift weights,14.0
0.2945,0.2959145219833608,0.2945,0.2949538380884672,0.011864569941025976,0.014858822483736918,999,Randomly reassigned lift weights,14.0
0.2695,0.26932706038745136,0.2695,0.26793822425060904,-3.336459714012223e-05,0.001540738502414928,0,Randomly reassigned lift weights,15.0
0.2725,0.2720170039569589,0.2725,0.27081828924234974,0.0004711391870652603,0.00203711113253581,10,Randomly reassigned lift weights,15.0
0.2695,0.26932706038745136,0.2695,0.26793822425060904,-3.336459714012223e-05,0.001540738502414928,42,Randomly reassigned lift weights,15.0
0.2715,0.27136822309303454,0.2715,0.2699502283147258,0.00016601452639035676,0.0017363273775088824,100,Randomly reassigned lift weights,15.0
0.2705,0.2704357465222448,0.2705,0.2690179426174477,9.756365405164656e-05,0.0016863599328548254,999,Randomly reassigned lift weights,15.0
0.274,0.27386605356393623,0.274,0.2723486054989672,0.000273058915642625,0.0018712677990122251,0,Randomly reassigned lift weights,16.0
0.275,0.2750743083310994,0.275,0.27351149321928525,0.00041378030304939237,0.0020480966491755355,10,Randomly reassigned lift weights,16.0
0.2755,0.2753867680759329,0.27549999999999997,0.273863382205838,0.0004557710019826272,0.0020648911260192854,42,Randomly reassigned lift weights,16.0
0.275,0.2750743083310994,0.275,0.27351149321928525,0.00041378030304939237,0.002048096649175535,100,Randomly reassigned lift weights,16.0
0.275,0.2748237303717227,0.275,0.27332720804140376,0.00038162757330874444,0.0019727049294214023,999,Randomly reassigned lift weights,16.0
0.305,0.30295625848120666,0.305,0.3037278971031706,0.016184114435590785,0.019100919018093306,0,Randomly reassigned lift weights,17.0
0.305,0.30295625848120666,0.305,0.3037278971031706,0.016184114435590785,0.019100919018093306,10,Randomly reassigned lift weights,17.0
0.3045,0.30251686581889836,0.3045,0.3032686217775734,0.01610470640005686,0.01904340314610435,42,Randomly reassigned lift weights,17.0
0.305,0.30295625848120666,0.305,0.3037278971031706,0.016184114435590785,0.019100919018093306,100,Randomly reassigned lift weights,17.0
0.305,0.30295625848120666,0.305,0.3037278971031706,0.016184114435590785,0.019100919018093306,999,Randomly reassigned lift weights,17.0
0.2665,0.26700968496116567,0.2665,0.26636679338835945,-0.00043891867665210967,0.0011606051022017702,0,Randomly reassigned lift weights,18.0
0.266,0.2665150911327333,0.266,0.2658497390686556,-0.0005006639016250696,0.0010922030854571213,10,Randomly reassigned lift weights,18.0
0.2665,0.2669968010334629,0.2665,0.2663475150279725,-0.00047009662933758403,0.0011237668526699518,42,Randomly reassigned lift weights,18.0
0.267,0.26747178393431625,0.267,0.2668616807932665,-0.00044371923274809795,0.001152795376071916,100,Randomly reassigned lift weights,18.0
0.266,0.26635834503925476,0.266,0.2658993811038535,-0.0004166277699327568,0.0011764587494840332,999,Randomly reassigned lift weights,18.0
0.468,0.46763869700203803,0.468,0.4676407696979926,0.23280244464607625,0.32669263638730833,0,Randomly reassigned lift weights,19.0
0.4685,0.4680961046429827,0.46849999999999997,0.4681196079448755,0.2334833284397876,0.3290527741666662,10,Randomly reassigned lift weights,19.0
0.469,0.468596352114683,0.46900000000000003,0.46859696227163206,0.23253485577134358,0.32618478379102156,42,Randomly reassigned lift weights,19.0
0.468,0.46763869700203803,0.468,0.4676407696979926,0.23280244464607625,0.3266926363873083,100,Randomly reassigned lift weights,19.0
0.468,0.46763869700203803,0.468,0.4676407696979926,0.23280244464607625,0.32669263638730833,999,Randomly reassigned lift weights,19.0
